:START_ID(AcquiredPoint),:END_ID(Campaign),:TYPE
-9223265876667409812,-788533207469848463,Campaign
-9222561612658731259,1262356996202308830,Campaign
-9222461780436109120,-7980342552789721526,Campaign
-9222128940404412905,2471373694039989956,Campaign
-9222015054748739656,1262356996202308830,Campaign
-9220830273961743426,-3628236562200765406,Campaign
-9220470444096620986,-5492453854365925912,Campaign
-9219922515891980618,7862764543894138356,Campaign
-9219756673665662083,3872056284980524549,Campaign
-9219690653698878485,7478933529747718903,Campaign
-9219546473452962749,4664662744800220985,Campaign
-9219443273259357423,-4033687772318417423,Campaign
-9219395281068220329,-3623748366011017535,Campaign
-9217794512492329236,3283693186318878931,Campaign
-9217740543283240922,501037525380967501,Campaign
-9216851252538974626,1874202262110225838,Campaign
-9216307416292909178,-7330497774527832186,Campaign
-9216298108403866425,3283693186318878931,Campaign
-9215566762004842178,1930610724542536095,Campaign
-9215094816334488305,1741510851081624449,Campaign
-9211964955497373527,2094432065494123834,Campaign
-9211901765433803498,-2600207356654097515,Campaign
-9211884280321712483,-3735212358893171559,Campaign
-9211213614574500312,-5623518369831952596,Campaign
-9211069482703930207,-7097187504265000303,Campaign
-9210984812425626546,9135003714398652793,Campaign
-9210949820307378829,2011613100877203892,Campaign
-9209448876783186304,5530315910001250434,Campaign
-9208816573153154755,1262356996202308830,Campaign
-9208052220458477951,5776553535995603998,Campaign
-9207431842091776869,5496564365532473653,Campaign
-9207315483247207934,1177686616645279341,Campaign
-9207217706431134741,-4778061282393912446,Campaign
-9206252224916921250,-6765001555393534993,Campaign
-9206196959472493082,4101013483524140293,Campaign
-9206168188313874163,1654204105071543443,Campaign
-9203144449037171189,8480766574540862627,Campaign
-9202738302948765205,5530315910001250434,Campaign
-9201906225638743720,8407057234940651961,Campaign
-9201898295105527584,-4111425543035412797,Campaign
-9201759964824095826,3417558667315749580,Campaign
-9201613673797091887,5730494457703393897,Campaign
-9201518386441285833,-214000838027093825,Campaign
-9201410308824446495,4664662744800220985,Campaign
-9201326386681023411,-214000838027093825,Campaign
-9199911263602435396,-7438897125880187764,Campaign
-9198766249814297013,6371541637523766228,Campaign
-9196368427070820192,8285519810612050289,Campaign
-9196173878853140079,5436574409915348465,Campaign
-9196003998919301433,8480766574540862627,Campaign
-9194686067694500656,7210714530264817825,Campaign
-9193163469027264245,-3210483808928045332,Campaign
-9192456334389831498,3283693186318878931,Campaign
-9191475389494499135,8101022073559451832,Campaign
-9191029951362478003,-7330497774527832186,Campaign
-9190588763324832517,-5660759194562770256,Campaign
-9190499640343493751,9009750413833917576,Campaign
-9190309522236236065,39843538367698865,Campaign
-9189510459414097924,-2266964269410943209,Campaign
-9188270140702939496,-3066102972587337822,Campaign
-9188021595992484013,-7366058106127327935,Campaign
-9186477633216345759,8285519810612050289,Campaign
-9185228736480037174,-9206795231258690347,Campaign
-9184175655139503676,1075495299701697717,Campaign
-9183787835147106367,-7364211365727437486,Campaign
-9182801103698570926,2012214047244553083,Campaign
-9182397019802282431,-7744552802315171666,Campaign
-9180482322711615036,8423357204868413705,Campaign
-9179924405633943095,6748851092515201430,Campaign
-9179858946599461571,2907955903539503678,Campaign
-9179855959229800273,-7390932973508256820,Campaign
