:START_ID(AcquiredPoint),:END_ID(DataPoint),:TYPE
-9223265876667409812,8074813073043485299,DataPoint
-9222561612658731259,255924824416394284,DataPoint
-9222461780436109120,3111253364727477595,DataPoint
-9222128940404412905,5548954744359644047,DataPoint
-9222015054748739656,-4051729641874228162,DataPoint
-9220830273961743426,-3749540195089059296,DataPoint
-9220470444096620986,-6323185844481532013,DataPoint
-9219922515891980618,-663541146244657700,DataPoint
-9219756673665662083,-8566787001995331970,DataPoint
-9219690653698878485,255041909978111336,DataPoint
-9219546473452962749,-7469463114722689664,DataPoint
-9219443273259357423,-5797244606152189405,DataPoint
-9219395281068220329,-7450812655500613309,DataPoint
-9217794512492329236,-2475177383897786671,DataPoint
-9217740543283240922,26509995435247197,DataPoint
-9216851252538974626,-1495636201507265338,DataPoint
-9216307416292909178,-1964903838634371121,DataPoint
-9216298108403866425,-9206791844453479774,DataPoint
-9215566762004842178,64117980724815824,DataPoint
-9215094816334488305,3928740194012335759,DataPoint
-9211964955497373527,7696812839592535116,DataPoint
-9211901765433803498,8124445293633227097,DataPoint
-9211884280321712483,-653727541234250282,DataPoint
-9211213614574500312,-71619079548813826,DataPoint
-9211069482703930207,-6273285128882058646,DataPoint
-9210984812425626546,6883377445328491549,DataPoint
-9210949820307378829,-2868800207031613863,DataPoint
-9209448876783186304,678685911433745605,DataPoint
-9208816573153154755,8124445293633227097,DataPoint
-9208052220458477951,1884368550472138822,DataPoint
-9207431842091776869,-7785990881252862290,DataPoint
-9207315483247207934,-5235030103836723629,DataPoint
-9207217706431134741,6130752024369959471,DataPoint
-9206252224916921250,-3178430512947345161,DataPoint
-9206196959472493082,2940255051291319326,DataPoint
-9206168188313874163,-1964903838634371121,DataPoint
-9203144449037171189,-3178430512947345161,DataPoint
-9202738302948765205,8367533239691003131,DataPoint
-9201906225638743720,3187641532366234034,DataPoint
-9201898295105527584,1072192838100599689,DataPoint
-9201759964824095826,-1363619737792666951,DataPoint
-9201613673797091887,-1640252274308936244,DataPoint
-9201518386441285833,-7469463114722689664,DataPoint
-9201410308824446495,6158488300864379397,DataPoint
-9201326386681023411,6048361804962262178,DataPoint
-9199911263602435396,-6602732256069907641,DataPoint
-9198766249814297013,-9071127688434437152,DataPoint
-9196368427070820192,-9206791844453479774,DataPoint
-9196173878853140079,-8547910283976048215,DataPoint
-9196003998919301433,7002982084647961925,DataPoint
-9194686067694500656,-1690841469779243908,DataPoint
-9193163469027264245,-7469463114722689664,DataPoint
-9192456334389831498,-8015115745946482211,DataPoint
-9191475389494499135,-5136369798597093155,DataPoint
-9191029951362478003,-3178430512947345161,DataPoint
-9190588763324832517,2346313829235539952,DataPoint
-9190499640343493751,-6429224564021299589,DataPoint
-9190309522236236065,2940255051291319326,DataPoint
-9189510459414097924,-8584631714929899164,DataPoint
-9188270140702939496,-2868800207031613863,DataPoint
-9188021595992484013,-3533523101956952860,DataPoint
-9186477633216345759,8738725814823506476,DataPoint
-9185228736480037174,-5797244606152189405,DataPoint
-9184175655139503676,-7281966794296777991,DataPoint
-9183787835147106367,-8649375362184708888,DataPoint
-9182801103698570926,-1059501172949486794,DataPoint
-9182397019802282431,-735827024759760848,DataPoint
-9180482322711615036,2035255672019859891,DataPoint
-9179924405633943095,8614130483881762438,DataPoint
-9179858946599461571,6463147679339733745,DataPoint
-9179855959229800273,6395094166938777952,DataPoint
-9179375095094693209,-8420545502744499286,DataPoint
-9178299635304897373,-8566787001995331970,DataPoint
-9178255503710778794,-1445011132548937410,DataPoint
-9177757248154074924,-7315681560399614650,DataPoint
-9177452595142858216,256926599489820195,DataPoint
-9177417001375787530,-9208385875120264535,DataPoint
-9176739365299599002,8120411159989566731,DataPoint
-9176469384223843932,2035255672019859891,DataPoint
-9173872793000074226,-7469463114722689664,DataPoint
-9173558626900459531,-4324301263627745635,DataPoint
-9173535776685430345,3763752220587737635,DataPoint
-9172805122830480183,2007117552201740649,DataPoint
-9172426671049351553,7214499395594318230,DataPoint
-9172171477820060632,1125754924563169213,DataPoint
-9171524638915517958,-8146906127921858665,DataPoint
-9171414561454735284,612154465138853679,DataPoint
-9170696945414361583,-5442897542344330574,DataPoint
-9170104397493883955,3851357297857181230,DataPoint
-9169678741033273116,-8649375362184708888,DataPoint
-9169462285046622652,5826522902557241743,DataPoint
-9167902767851234894,26509995435247197,DataPoint
-9167638867363659645,4289924547671894220,DataPoint
-9167297832061454705,-8420545502744499286,DataPoint
-9166158407429034646,-5557862317633543895,DataPoint
-9164457833639560339,-8017870047410190706,DataPoint
-9164331428228276330,5410947121347882853,DataPoint
-9163628945946701305,2940255051291319326,DataPoint
-9163549336863751814,-4794914101060767082,DataPoint
-9163388409483356237,-9206791844453479774,DataPoint
-9163362091952346609,-8351636098437462948,DataPoint
-9163214687245108028,-587998792699864239,DataPoint
-9162655261317253821,2346313829235539952,DataPoint
-9161440157986752430,8074813073043485299,DataPoint
-9160632413923383819,3580943868643450885,DataPoint
-9160502622050303959,155472071092084904,DataPoint
-9158623039651133820,-6222144195395661580,DataPoint
-9157901770160246186,5834882132881360976,DataPoint
-9157071424339572642,5462897851701403591,DataPoint
-9156488726898265728,-3178430512947345161,DataPoint
-9155992072021552541,678685911433745605,DataPoint
-9155392570930324779,-7723578991671879771,DataPoint
-9154674340982956381,1884368550472138822,DataPoint
-9153037919381079097,-3533523101956952860,DataPoint
-9150531049431433746,-8566787001995331970,DataPoint
-9150397702020658282,3763752220587737635,DataPoint
-9149934060386612197,-8649375362184708888,DataPoint
-9148696049505039633,-2386708625767336575,DataPoint
-9147647724304774005,-424942856488150780,DataPoint
-9145992482360703235,-4106887350265432550,DataPoint
-9145656932974892900,7579599337073795740,DataPoint
-9145395693377044310,6712212224121066747,DataPoint
-9145349323306417973,4022488887369575927,DataPoint
-9144976815833938707,-3178430512947345161,DataPoint
-9143877774752428527,8120411159989566731,DataPoint
-9143537412252803148,8150317710680082224,DataPoint
-9143145244898413234,-8146906127921858665,DataPoint
-9142467905252911168,3763752220587737635,DataPoint
-9142370267199720818,2020205123310551648,DataPoint
-9140885470313004623,-5797244606152189405,DataPoint
-9140803663596539909,-7359470002711444108,DataPoint
-9140734162858237033,2846735371487399248,DataPoint
-9140374678009875498,6395094166938777952,DataPoint
-9140118712290569067,-5268872515968967676,DataPoint
