acquiredPointID:ID(AcquiredPoint),iteration:int,:LABEL
-9223265876667409812,72,AcquiredPoint
-9222561612658731259,25,AcquiredPoint
-9222461780436109120,22,AcquiredPoint
-9222128940404412905,57,AcquiredPoint
-9222015054748739656,109,AcquiredPoint
-9220830273961743426,1,AcquiredPoint
-9220470444096620986,109,AcquiredPoint
-9219922515891980618,65,AcquiredPoint
-9219756673665662083,38,AcquiredPoint
-9219690653698878485,122,AcquiredPoint
-9219546473452962749,104,AcquiredPoint
-9219443273259357423,12,AcquiredPoint
-9219395281068220329,55,AcquiredPoint
-9217794512492329236,12,AcquiredPoint
-9217740543283240922,60,AcquiredPoint
-9216851252538974626,60,AcquiredPoint
-9216307416292909178,131,AcquiredPoint
-9216298108403866425,139,AcquiredPoint
-9215566762004842178,96,AcquiredPoint
-9215094816334488305,47,AcquiredPoint
-9211964955497373527,21,AcquiredPoint
-9211901765433803498,62,AcquiredPoint
-9211884280321712483,38,AcquiredPoint
-9211213614574500312,34,AcquiredPoint
-9211069482703930207,86,AcquiredPoint
-9210984812425626546,77,AcquiredPoint
-9210949820307378829,32,AcquiredPoint
-9209448876783186304,99,AcquiredPoint
-9208816573153154755,55,AcquiredPoint
-9208052220458477951,108,AcquiredPoint
-9207431842091776869,80,AcquiredPoint
-9207315483247207934,121,AcquiredPoint
-9207217706431134741,140,AcquiredPoint
-9206252224916921250,5,AcquiredPoint
-9206196959472493082,141,AcquiredPoint
-9206168188313874163,64,AcquiredPoint
-9203144449037171189,109,AcquiredPoint
-9202738302948765205,50,AcquiredPoint
-9201906225638743720,73,AcquiredPoint
-9201898295105527584,11,AcquiredPoint
-9201759964824095826,145,AcquiredPoint
-9201613673797091887,0,AcquiredPoint
-9201518386441285833,19,AcquiredPoint
-9201410308824446495,122,AcquiredPoint
-9201326386681023411,25,AcquiredPoint
-9199911263602435396,73,AcquiredPoint
-9198766249814297013,34,AcquiredPoint
-9196368427070820192,66,AcquiredPoint
-9196173878853140079,51,AcquiredPoint
-9196003998919301433,128,AcquiredPoint
-9194686067694500656,112,AcquiredPoint
-9193163469027264245,21,AcquiredPoint
-9192456334389831498,73,AcquiredPoint
-9191475389494499135,102,AcquiredPoint
-9191029951362478003,5,AcquiredPoint
-9190588763324832517,69,AcquiredPoint
-9190499640343493751,23,AcquiredPoint
-9190309522236236065,142,AcquiredPoint
-9189510459414097924,141,AcquiredPoint
-9188270140702939496,107,AcquiredPoint
-9188021595992484013,63,AcquiredPoint
-9186477633216345759,60,AcquiredPoint
-9185228736480037174,137,AcquiredPoint
-9184175655139503676,31,AcquiredPoint
-9183787835147106367,85,AcquiredPoint
-9182801103698570926,24,AcquiredPoint
-9182397019802282431,108,AcquiredPoint
-9180482322711615036,25,AcquiredPoint
-9179924405633943095,31,AcquiredPoint
-9179858946599461571,46,AcquiredPoint
-9179855959229800273,27,AcquiredPoint
-9179375095094693209,140,AcquiredPoint
-9178299635304897373,55,AcquiredPoint
-9178255503710778794,107,AcquiredPoint
-9177757248154074924,32,AcquiredPoint
-9177452595142858216,146,AcquiredPoint
-9177417001375787530,91,AcquiredPoint
-9176739365299599002,0,AcquiredPoint
-9176469384223843932,137,AcquiredPoint
-9173872793000074226,55,AcquiredPoint
-9173558626900459531,31,AcquiredPoint
-9173535776685430345,15,AcquiredPoint
-9172805122830480183,81,AcquiredPoint
-9172426671049351553,114,AcquiredPoint
-9172171477820060632,74,AcquiredPoint
-9171524638915517958,55,AcquiredPoint
-9171414561454735284,131,AcquiredPoint
-9170696945414361583,69,AcquiredPoint
-9170104397493883955,47,AcquiredPoint
-9169678741033273116,117,AcquiredPoint
-9169462285046622652,118,AcquiredPoint
-9167902767851234894,135,AcquiredPoint
-9167638867363659645,49,AcquiredPoint
-9167297832061454705,63,AcquiredPoint
-9166158407429034646,62,AcquiredPoint
-9164457833639560339,59,AcquiredPoint
-9164331428228276330,142,AcquiredPoint
-9163628945946701305,68,AcquiredPoint
-9163549336863751814,74,AcquiredPoint
-9163388409483356237,65,AcquiredPoint
-9163362091952346609,122,AcquiredPoint
-9163214687245108028,79,AcquiredPoint
-9162655261317253821,8,AcquiredPoint
-9161440157986752430,72,AcquiredPoint
-9160632413923383819,58,AcquiredPoint
-9160502622050303959,135,AcquiredPoint
-9158623039651133820,31,AcquiredPoint
-9157901770160246186,63,AcquiredPoint
-9157071424339572642,56,AcquiredPoint
-9156488726898265728,68,AcquiredPoint
-9155992072021552541,25,AcquiredPoint
-9155392570930324779,66,AcquiredPoint
-9154674340982956381,44,AcquiredPoint
-9153037919381079097,138,AcquiredPoint
-9150531049431433746,68,AcquiredPoint
-9150397702020658282,40,AcquiredPoint
-9149934060386612197,124,AcquiredPoint
-9148696049505039633,45,AcquiredPoint
-9147647724304774005,71,AcquiredPoint
-9145992482360703235,146,AcquiredPoint
-9145656932974892900,123,AcquiredPoint
-9145395693377044310,49,AcquiredPoint
-9145349323306417973,45,AcquiredPoint
-9144976815833938707,66,AcquiredPoint
-9143877774752428527,28,AcquiredPoint
-9143537412252803148,52,AcquiredPoint
-9143145244898413234,119,AcquiredPoint
-9142467905252911168,4,AcquiredPoint
-9142370267199720818,38,AcquiredPoint
-9140885470313004623,62,AcquiredPoint
-9140803663596539909,117,AcquiredPoint
-9140734162858237033,20,AcquiredPoint
-9140374678009875498,5,AcquiredPoint
-9140118712290569067,118,AcquiredPoint
-9140051700046749522,40,AcquiredPoint
-9137068827542560232,75,AcquiredPoint
-9136435171348510404,136,AcquiredPoint
-9136241463499251826,37,AcquiredPoint
-9136062216140937018,35,AcquiredPoint
-9135705502270656270,45,AcquiredPoint
-9135300779226969009,95,AcquiredPoint
-9135150365949547937,48,AcquiredPoint
-9134209783447852239,4,AcquiredPoint
