dataPointID:ID(DataPoint),features,target,:LABEL
-9071127688434437152,"{""Ag%"": 0.0, ""Au%"": 0.0, ""Co%"": 0.0, ""Cu%"": 0.58, ""Ni%"": 0.42, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",-1,DataPoint
-8966073595887122578,"{""Ag%"": 0.19, ""Au%"": 0.25, ""Co%"": 0.56, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",0,DataPoint
-6464651650585887677,"{""Ag%"": 0.39, ""Au%"": 0.0, ""Co%"": 0.16, ""Cu%"": 0.45, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",-1,DataPoint
-8636088449025993826,"{""Ag%"": 0.42, ""Au%"": 0.0, ""Co%"": 0.0, ""Cu%"": 0.58, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",0,DataPoint
-8584631714929899164,"{""Ag%"": 0.13, ""Au%"": 0.16, ""Co%"": 0.15, ""Cu%"": 0.16, ""Ni%"": 0.15, ""Pd%"": 0.15, ""Pt%"": 0.0, ""Sn%"": 0.1}",-2,DataPoint
-8351636098437462948,"{""Ag%"": 0.0, ""Au%"": 0.12, ""Co%"": 0.0, ""Cu%"": 0.19, ""Ni%"": 0.26, ""Pd%"": 0.23, ""Pt%"": 0.0, ""Sn%"": 0.2}",-2,DataPoint
-7990541904998575968,"{""Ag%"": 0.0, ""Au%"": 0.29, ""Co%"": 0.33, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.38, ""Pt%"": 0.0, ""Sn%"": 0.0}",0,DataPoint
-7723578991671879771,"{""Ag%"": 0.0, ""Au%"": 0.18, ""Co%"": 0.14, ""Cu%"": 0.0, ""Ni%"": 0.33, ""Pd%"": 0.18, ""Pt%"": 0.0, ""Sn%"": 0.17}",-5,DataPoint
-7708291528914582420,"{""Ag%"": 0.14, ""Au%"": 0.0, ""Co%"": 0.41, ""Cu%"": 0.45, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",-1,DataPoint
-7414915297272803105,"{""Ag%"": 0.55, ""Au%"": 0.0, ""Co%"": 0.0, ""Cu%"": 0.45, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",0,DataPoint
-6327789033213181426,"{""Ag%"": 0.0, ""Au%"": 0.33, ""Co%"": 0.33, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.17, ""Pt%"": 0.0, ""Sn%"": 0.17}",-1,DataPoint
-6134089995729216084,"{""Ag%"": 0.33, ""Au%"": 0.0, ""Co%"": 0.23, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.27, ""Pt%"": 0.0, ""Sn%"": 0.17}",-2,DataPoint
-5902388810790426270,"{""Ag%"": 0.0, ""Au%"": 0.24, ""Co%"": 0.21, ""Cu%"": 0.0, ""Ni%"": 0.15, ""Pd%"": 0.17, ""Pt%"": 0.0, ""Sn%"": 0.23}",-2,DataPoint
-5837789940359851953,"{""Ag%"": 0.0, ""Au%"": 0.36, ""Co%"": 0.0, ""Cu%"": 0.34, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.3, ""Sn%"": 0.0}",-1,DataPoint
-5650986906416869641,"{""Ag%"": 0.0, ""Au%"": 0.23, ""Co%"": 0.16, ""Cu%"": 0.42, ""Ni%"": 0.19, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",0,DataPoint
-5557862317633543895,"{""Ag%"": 0.32, ""Au%"": 0.0, ""Co%"": 0.21, ""Cu%"": 0.2, ""Ni%"": 0.0, ""Pd%"": 0.15, ""Pt%"": 0.0, ""Sn%"": 0.12}",-3,DataPoint
-5029771682129617715,"{""Ag%"": 0.0, ""Au%"": 0.0, ""Co%"": 0.13, ""Cu%"": 0.0, ""Ni%"": 0.35, ""Pd%"": 0.26, ""Pt%"": 0.0, ""Sn%"": 0.26}",-2,DataPoint
-4658366569789728925,"{""Ag%"": 0.0, ""Au%"": 0.3, ""Co%"": 0.29, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.3, ""Pt%"": 0.0, ""Sn%"": 0.11}",-2,DataPoint
-4543649962601384866,"{""Ag%"": 0.0, ""Au%"": 0.2, ""Co%"": 0.25, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.28, ""Pt%"": 0.0, ""Sn%"": 0.27}",-2,DataPoint
-2868800207031613863,"{""Ag%"": 0.0, ""Au%"": 0.18, ""Co%"": 0.09, ""Cu%"": 0.0, ""Ni%"": 0.33, ""Pd%"": 0.25, ""Pt%"": 0.0, ""Sn%"": 0.15}",-5,DataPoint
-2298038255430017233,"{""Ag%"": 0.35, ""Au%"": 0.3, ""Co%"": 0.0, ""Cu%"": 0.35, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",0,DataPoint
-2119461428372176803,"{""Ag%"": 0.0, ""Au%"": 0.24, ""Co%"": 0.0, ""Cu%"": 0.38, ""Ni%"": 0.0, ""Pd%"": 0.25, ""Pt%"": 0.0, ""Sn%"": 0.13}",0,DataPoint
3347078228020056874,"{""Ag%"": 0.28, ""Au%"": 0.0, ""Co%"": 0.23, ""Cu%"": 0.23, ""Ni%"": 0.0, ""Pd%"": 0.16, ""Pt%"": 0.0, ""Sn%"": 0.1}",-3,DataPoint
-1059501172949486794,"{""Ag%"": 0.0, ""Au%"": 0.59, ""Co%"": 0.19, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.11, ""Pt%"": 0.0, ""Sn%"": 0.11}",-2,DataPoint
-850838976784033655,"{""Ag%"": 0.0, ""Au%"": 0.29, ""Co%"": 0.17, ""Cu%"": 0.0, ""Ni%"": 0.19, ""Pd%"": 0.2, ""Pt%"": 0.0, ""Sn%"": 0.15}",-2,DataPoint
-663541146244657700,"{""Ag%"": 0.0, ""Au%"": 0.0, ""Co%"": 0.5, ""Cu%"": 0.0, ""Ni%"": 0.5, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",-1,DataPoint
-558610269239559175,"{""Ag%"": 0.0, ""Au%"": 0.32, ""Co%"": 0.34, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.3, ""Pt%"": 0.0, ""Sn%"": 0.04}",0,DataPoint
-424942856488150780,"{""Ag%"": 0.0, ""Au%"": 0.57, ""Co%"": 0.0, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.27, ""Pt%"": 0.0, ""Sn%"": 0.16}",0,DataPoint
205209450853171831,"{""Ag%"": 0.26, ""Au%"": 0.48, ""Co%"": 0.0, ""Cu%"": 0.26, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",0,DataPoint
1072192838100599689,"{""Ag%"": 0.0, ""Au%"": 0.0, ""Co%"": 0.0, ""Cu%"": 0.33, ""Ni%"": 0.32, ""Pd%"": 0.16, ""Pt%"": 0.0, ""Sn%"": 0.19}",0,DataPoint
1187520484269110342,"{""Ag%"": 0.0, ""Au%"": 0.27, ""Co%"": 0.34, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.27, ""Pt%"": 0.0, ""Sn%"": 0.12}",-3,DataPoint
1497393525103309001,"{""Ag%"": 0.0, ""Au%"": 0.0, ""Co%"": 0.0, ""Cu%"": 0.0, ""Ni%"": 0.32, ""Pd%"": 0.37, ""Pt%"": 0.0, ""Sn%"": 0.31}",0,DataPoint
1772157545352428127,"{""Ag%"": 0.45, ""Au%"": 0.1, ""Co%"": 0.0, ""Cu%"": 0.45, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",-1,DataPoint
2020205123310551648,"{""Ag%"": 0.25, ""Au%"": 0.5, ""Co%"": 0.0, ""Cu%"": 0.25, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",-1,DataPoint
2339136593384590421,"{""Ag%"": 0.55, ""Au%"": 0.0, ""Co%"": 0.0, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.26, ""Pt%"": 0.0, ""Sn%"": 0.19}",0,DataPoint
2346313829235539952,"{""Ag%"": 0.0, ""Au%"": 0.21, ""Co%"": 0.44, ""Cu%"": 0.35, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",0,DataPoint
3611307458115920455,"{""Ag%"": 0.0, ""Au%"": 0.3, ""Co%"": 0.24, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.26, ""Pt%"": 0.0, ""Sn%"": 0.17}",-2,DataPoint
4289924547671894220,"{""Ag%"": 0.0, ""Au%"": 0.0, ""Co%"": 0.5, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.5, ""Pt%"": 0.0, ""Sn%"": 0.0}",-1,DataPoint
4309420700426708602,"{""Ag%"": 0.0, ""Au%"": 0.0, ""Co%"": 0.0, ""Cu%"": 0.0, ""Ni%"": 0.5, ""Pd%"": 0.0, ""Pt%"": 0.5, ""Sn%"": 0.0}",-1,DataPoint
5849080221813580520,"{""Ag%"": 0.0, ""Au%"": 0.0, ""Co%"": 0.66, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.17, ""Pt%"": 0.0, ""Sn%"": 0.17}",0,DataPoint
-4324301263627745635,"{""Ag%"": 0.1, ""Au%"": 0.1, ""Co%"": 0.0, ""Cu%"": 0.0, ""Ni%"": 0.8, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",0,DataPoint
4503462009399587809,"{""Ag%"": 0.0, ""Au%"": 0.0, ""Co%"": 0.5, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.5, ""Sn%"": 0.0}",-1,DataPoint
4680920783900181838,"{""Ag%"": 0.25, ""Au%"": 0.0, ""Co%"": 0.16, ""Cu%"": 0.16, ""Ni%"": 0.15, ""Pd%"": 0.17, ""Pt%"": 0.0, ""Sn%"": 0.11}",-3,DataPoint
6058910148446967055,"{""Ag%"": 0.0, ""Au%"": 0.0, ""Co%"": 0.0, ""Cu%"": 0.19, ""Ni%"": 0.19, ""Pd%"": 0.0, ""Pt%"": 0.62, ""Sn%"": 0.0}",-1,DataPoint
6130752024369959471,"{""Ag%"": 0.31, ""Au%"": 0.0, ""Co%"": 0.21, ""Cu%"": 0.19, ""Ni%"": 0.0, ""Pd%"": 0.17, ""Pt%"": 0.0, ""Sn%"": 0.12}",-4,DataPoint
6401492359489407176,"{""Ag%"": 0.0, ""Au%"": 0.4, ""Co%"": 0.24, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.18, ""Pt%"": 0.0, ""Sn%"": 0.18}",-2,DataPoint
6422494440539122262,"{""Ag%"": 0.33, ""Au%"": 0.0, ""Co%"": 0.33, ""Cu%"": 0.33, ""Ni%"": 0.0, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",-1,DataPoint
